station	QoS	latitude	code	longitude	revision
Nikolayevsk-on-Amure	maintenance	53.14657	RU	140.72287	2020-07-17
Tyler	good	32.35126	US	-95.30106	27 Dec 2015
Charlottetown	excellent	46.23899	CA	-63.13414	2020/09/20
Chiguayante	excellent	-36.9256	CL	-73.02841	2025/06/05
Pune	maintenance	18.51957	IN	73.85535	12 Sep 2022
Dobrush	good	52.4089	BY	31.3237	2024/03/19
Opportunity	good	47.64995	US	-117.23991	2020/12/06
Nowshahr	good	36.64852	IR	51.49621	02/13/2018, 00:00:00
Zhoushan	maintenance	29.98869	CN	122.20488	12/17/2016, 00:00:00
Muncar	good	-8.43333	ID	114.33333	23 Mar 2025
Alytus	excellent	54.39635	LT	24.04142	2016-08-24
Marau	good	-28.44917	BR	-52.2	02/07/2024, 00:00:00
Landshut	maintenance	48.52961	DE	12.16179	22 Apr 2016
Saraktash	good	51.78771	RU	56.36091	28 Aug 2022
Lesosibirsk	excellent	58.23583	RU	92.48278	04/27/2024, 00:00:00
Ghat	excellent	24.96334	LY	10.18003	2016-10-26
Tonota	excellent	-21.44236	BW	27.46153	2022/09/14
Pfullingen	excellent	48.46458	DE	9.22796	23 May 2021
Sicklerville	acceptable	39.71734	US	-74.96933	2016/07/13
Zhuangyuan	good	37.30553	CN	120.82747	2017/11/11
Rangia	excellent	26.44931	IN	91.61356	11/14/2019, 00:00:00
Sungurlu	maintenance	40.1675	TR	34.37389	13 Sep 2023
Ragusa	excellent	36.92574	IT	14.72443	06/11/2018, 00:00:00
Moga	excellent	30.81383	IN	75.16878	2020/03/02
Dombivli	good	19.21667	IN	73.08333	24 Aug 2024
Eisen	good	36.82167	KR	128.63083	03/03/2025, 00:00:00
Thenia	good	36.72544	DZ	3.55665	02 Apr 2024
Media Luna	excellent	20.14298	CU	-77.43532	02/23/2024, 00:00:00
Pleasant Prairie	acceptable	42.55308	US	-87.93341	06 Oct 2017
Colomiers	good	43.61058	FR	1.33467	2021/12/19
Muritiba	good	-12.91667	BR	-39.25	12/01/2017, 00:00:00
Mudanya	acceptable	40.37528	TR	28.88222	2025-05-29
El Copey	acceptable	10.15031	CO	-73.9614	2025/02/06
Ramla	good	31.92923	IL	34.86563	07/31/2019, 00:00:00
Beidao	excellent	34.56861	CN	105.89333	15 Mar 2025
Cibinong	maintenance	-6.48167	ID	106.85417	2017-02-03
Inawashiro	excellent	37.56667	JP	140.11667	02 Jun 2024
Shuangcheng	excellent	45.35	CN	126.28333	2022-12-06
Bogoroditsk	acceptable	53.77166	RU	38.12408	01/22/2024, 00:00:00
Lutsk	excellent	50.75932	UA	25.34244	2017-05-08
North Lauderdale	good	26.2173	US	-80.22588	03/12/2022, 00:00:00
Jumilla	acceptable	38.47917	ES	-1.325	2017/10/28
Itaperuna	acceptable	-21.205	BR	-41.88778	2025-06-08
Watsonville	excellent	36.91023	US	-121.75689	05/11/2022, 00:00:00
Bushey	good	51.64316	GB	-0.36053	01/04/2018, 00:00:00
Ksar Chellala	acceptable	35.21222	DZ	2.31889	2025/09/16
Kundla	acceptable	21.34222	IN	71.30633	29 Mar 2024
Baza	excellent	37.49073	ES	-2.77259	03/03/2020, 00:00:00
Dobrush	good	52.4089	BY	31.3237	08/11/2018, 00:00:00
Port-Vila	good	-17.73648	VU	168.31366	2016-03-08
Davis	maintenance	38.54491	US	-121.74052	2022/10/18
Oulmes	good	33.42585	MA	-6.00137	01/23/2023, 00:00:00
Zeitz	acceptable	51.04962	DE	12.1369	2017-08-19
Kidodi	excellent	-7.60361	TZ	37.00438	09/29/2018, 00:00:00
Troutdale	maintenance	45.53929	US	-122.38731	2024-12-11
Bushey	good	51.64316	GB	-0.36053	24 Mar 2018
Dahlem	excellent	52.4581	DE	13.28702	2023/09/26
Veracruz	acceptable	8.88988	PA	-79.62603	08/21/2024, 00:00:00
Patti	acceptable	31.28092	IN	74.85849	2018-04-30
Lymington	excellent	50.75767	GB	-1.5443	03 Oct 2018
Balikpapan	good	-1.26753	ID	116.82887	22 Apr 2019
Salvatierra	good	20.21322	MX	-100.88023	2025-03-09
Mongo	excellent	12.18441	TD	18.69303	13 Jul 2019
Aurora	good	39.72943	US	-104.83192	2023-08-29
Harstad	acceptable	68.79833	NO	16.54165	16 Feb 2022
Eppingen	acceptable	49.13645	DE	8.91229	2016/09/26
Jizzax	excellent	40.11583	UZ	67.84222	2016/01/05
Scarsdale	good	41.0051	US	-73.78458	2021-02-03
Alytus	excellent	54.39635	LT	24.04142	07 Jun 2021
East Haven	acceptable	41.27621	US	-72.86843	2020/12/15
Tupi	excellent	6.33444	PH	124.95278	29 May 2017
Sremska Mitrovica	excellent	44.97639	RS	19.61222	2022/10/16
Sicklerville	excellent	39.71734	US	-74.96933	02/14/2024, 00:00:00
Segundo Ensanche	good	42.8139	ES	-1.64295	16 May 2018
Dorval	good	45.4473	CA	-73.75335	19 Aug 2017
Mira Mesa	good	32.9156	US	-117.14392	27 Mar 2018
Novosilikatnyy	good	53.30972	RU	83.62389	2016-12-23
Dongfeng	good	42.64031	CN	125.51176	15 Aug 2023
Brighton Beach	good	40.57788	US	-73.95958	2019/06/10
Peabody	good	42.52787	US	-70.92866	24 Jan 2018
El Achir	good	36.06386	DZ	4.62744	14 Oct 2019
Novogrudok	good	53.5942	BY	25.8191	02/08/2020, 00:00:00
Donggongon	good	5.90702	MY	116.10146	2023-06-06
Griffith	good	-34.28853	AU	146.05093	2018/12/07
Lesosibirsk	good	58.23583	RU	92.48278	2018/08/27
Cebu City	maintenance	10.31672	PH	123.89071	2016/12/08
Artsyz	excellent	45.99194	UA	29.41824	08/12/2024, 00:00:00
Stupino	acceptable	54.90083	RU	38.07083	18 May 2019
Hendala	acceptable	6.9909	LK	79.883	2024/02/15
Carlsbad	good	32.42067	US	-104.22884	22 Mar 2022
Aksaray	excellent	38.37255	TR	34.02537	2017-07-07
Pamiers	good	43.11667	FR	1.6	2022/11/04
Gates-North Gates	excellent	43.16547	US	-77.70066	2020/11/09
La Victoria	good	10.22677	VE	-67.33122	2024-10-01
Boumerdas	maintenance	36.76639	DZ	3.47717	2018/01/18
Nkpor	good	6.15038	NG	6.83042	2023-03-06
Calauan	good	14.14989	PH	121.3152	26 Mar 2024
Beryozovsky	good	56.9083	RU	60.8019	2017-12-02
Yablonovskiy	excellent	44.98901	RU	38.94324	10 Mar 2025
Pahrump	good	36.20829	US	-115.98391	20 Dec 2016
Rolla	good	37.95143	US	-91.77127	2019-06-19
Parola	acceptable	20.88098	IN	75.11937	2023-12-18
Shreveport	excellent	32.52515	US	-93.75018	2023/02/13
Hungund	maintenance	16.06213	IN	76.0586	02 Dec 2022
Kachkanar	maintenance	58.7002	RU	59.4839	2021/05/14
Miracema	good	-21.41222	BR	-42.19667	2017-08-27
Huangshi	good	30.24706	CN	115.04814	2015-10-19
Yonkers	good	40.93121	US	-73.89875	2019-10-25
Herblay	acceptable	48.98994	FR	2.1699	01/19/2022, 00:00:00
New City	good	41.80753	US	-87.65644	03/03/2017, 00:00:00
Carnegie	acceptable	-37.88333	AU	145.06667	01 Sep 2022
Sakaraha	excellent	-22.9	MG	44.53333	2017/11/26
Gifhorn	acceptable	52.47774	DE	10.5511	2024/10/08
Itabirito	acceptable	-20.25333	BR	-43.80139	19 Apr 2017
Kaukauna	excellent	44.27804	US	-88.27205	2017-02-21
Mwandiga	good	-4.83	TZ	29.65806	25 Feb 2020
Weimar	good	50.9803	DE	11.32903	2016/12/24
Madrid	excellent	4.73245	CO	-74.26419	2017/02/18
Carlos Barbosa	good	-29.2975	BR	-51.50361	03/31/2024, 00:00:00
Rhosllanerchrugog	good	53.00974	GB	-3.05814	2022-11-14
Zaysan	excellent	47.46657	KZ	84.87144	11/21/2019, 00:00:00
Pleasant Prairie	excellent	42.55308	US	-87.93341	2020-01-25
Acworth	good	34.06635	US	-84.67837	03/29/2018, 00:00:00
Donggongon	excellent	5.90702	MY	116.10146	2016-04-05
Culemborg	good	51.955	NL	5.22778	08/18/2018, 00:00:00
San Juan	excellent	26.18924	US	-98.15529	02/04/2020, 00:00:00
West Des Moines	good	41.57721	US	-93.71133	24 May 2018
Palm Desert	good	33.72255	US	-116.37697	07/14/2020, 00:00:00
Pamiers	excellent	43.11667	FR	1.6	04 Aug 2022
Albstadt	good	48.21644	DE	9.02596	08/06/2021, 00:00:00
Maliana	good	-8.99167	TL	125.21972	2019-07-09
Bhuban	acceptable	20.88197	IN	85.83334	05/16/2019, 00:00:00
Gates-North Gates	good	43.16547	US	-77.70066	10/31/2015, 00:00:00
Media Luna	excellent	20.14298	CU	-77.43532	2022-01-30
Shreveport	good	32.52515	US	-93.75018	29 Feb 2020
Barneveld	excellent	52.14	NL	5.58472	2019-10-20
Izluchinsk	good	60.97944	RU	76.92421	24 Mar 2022
Hardenberg	excellent	52.57583	NL	6.61944	09/28/2023, 00:00:00
Hengshui	good	37.73222	CN	115.70111	2017/04/11
East Dereham	good	52.68333	GB	0.93333	07 Aug 2024
Colomiers	excellent	43.61058	FR	1.33467	2018-09-13
Leioa	excellent	43.32686	ES	-2.98884	06/26/2021, 00:00:00
Kaukauna	good	44.27804	US	-88.27205	2023-05-06
Gaziantep	good	37.05944	TR	37.3825	2020-05-12
Zhukovka	good	53.53395	RU	33.72798	2016-06-24
Ajdabiya	excellent	30.75545	LY	20.22625	01/17/2019, 00:00:00
Hendala	acceptable	6.9909	LK	79.883	2025/08/24
Gembloux	good	50.56149	BE	4.69889	2021-11-30
Oulmes	good	33.42585	MA	-6.00137	2022-01-01
Zhuangyuan	good	37.30553	CN	120.82747	02/18/2017, 00:00:00
Ulan-Ude	acceptable	51.82721	RU	107.60627	11/22/2018, 00:00:00
Riverbank	acceptable	37.73604	US	-120.93549	04 May 2025
Tver	good	56.85836	RU	35.90057	03 Jan 2021
Sassari	good	40.72586	IT	8.55552	05/16/2016, 00:00:00
Tchaourou	good	8.88649	BJ	2.59753	2019/02/24
Ilesa	good	7.62789	NG	4.74161	10/01/2016, 00:00:00
Barras	excellent	-4.24444	BR	-42.29444	2020/05/10
Oaxaca	good	17.06542	MX	-96.72365	19 Jun 2025
Sishui	excellent	35.64889	CN	117.27583	2021/01/11
Greenville	good	33.41012	US	-91.06177	2019-10-22
Recodo	acceptable	6.95194	PH	121.96361	01/30/2023, 00:00:00
Rudolstadt	excellent	50.72043	DE	11.34046	02/06/2020, 00:00:00
Dahlem	good	52.4581	DE	13.28702	2019-07-12
Vestavia Hills	good	33.44872	US	-86.78777	2021/03/26
Winsford	good	53.19146	GB	-2.52398	2022-03-04
Harrisburg	good	40.2737	US	-76.88442	02/29/2020, 00:00:00
Lesosibirsk	good	58.23583	RU	92.48278	12/11/2023, 00:00:00
Weimar	good	50.9803	DE	11.32903	2016-05-12
Gaziantep	good	37.05944	TR	37.3825	2018/04/28
Gronau	acceptable	52.21099	DE	7.02238	07 Jan 2025
Chiavari	good	44.31771	IT	9.32241	19 Jan 2024
Naga	good	10.20898	PH	123.758	12/07/2021, 00:00:00
Brzeg	acceptable	50.86079	PL	17.4674	08/04/2021, 00:00:00
Sungurlu	good	40.1675	TR	34.37389	2024/10/13
Kamakura	excellent	35.30889	JP	139.55028	2025/07/11
San Jose	excellent	12.35275	PH	121.06761	06/21/2022, 00:00:00
Halstenbek	good	53.63333	DE	9.85	23 Feb 2020
Aguilares	good	-27.4338	AR	-65.61427	2020/10/31
Tucano	good	-10.95817	BR	-38.79084	2023/02/02
Sremska Mitrovica	good	44.97639	RS	19.61222	2021/12/21
San Gabriel	maintenance	34.09611	US	-118.10583	07 Jan 2021
Kheda	good	22.75218	IN	72.68533	2024-01-26
Hardenberg	maintenance	52.57583	NL	6.61944	02/03/2024, 00:00:00
Simpang	good	-1.26424	ID	104.09701	2021/12/26
Boyeros	good	23.0072	CU	-82.4017	2020/04/11
Inverness	good	57.47908	GB	-4.22398	2015/10/11
Bibiani	excellent	6.46346	GH	-2.31938	06/23/2025, 00:00:00
Wacheng	acceptable	33.78333	CN	114.51667	2023/04/30
Nowra	excellent	-34.88422	AU	150.60036	2017-04-21
Stupino	good	54.90083	RU	38.07083	2018/09/14
Santa Rosa Jauregui	good	20.74122	MX	-100.44843	2018/09/16
Santa Cruz de Barahona	good	18.20854	DO	-71.10077	25 Feb 2020
Pekanbaru	good	0.51667	ID	101.44167	04/29/2016, 00:00:00
Jizzax	good	40.11583	UZ	67.84222	2016-02-15
San Gabriel	excellent	34.09611	US	-118.10583	20 Nov 2017
Palm Valley	good	30.17746	US	-81.38758	2015/12/31
Vryheid	excellent	-27.76952	ZA	30.79165	21 Jan 2016
Maasin	excellent	10.13361	PH	124.84472	07/17/2016, 00:00:00
Pamiers	excellent	43.11667	FR	1.6	22 Jan 2019
Pune	maintenance	18.51957	IN	73.85535	27 Feb 2023
North Tustin	good	33.76446	US	-117.79394	11 Jun 2024
Magomeni	good	-6.8	TZ	39.25	2020-09-16
Silvan	excellent	38.13708	TR	41.00817	2025/04/07
Bothell West	acceptable	47.80527	US	-122.24064	09/29/2023, 00:00:00
Laiwu	good	36.19278	CN	117.65694	2016-10-14
El Achir	good	36.06386	DZ	4.62744	2017/07/25
Terezín	good	50.511002	CZ	14.150558	2017/03/27
Diwek	excellent	-7.57897	ID	112.23109	2019-05-27
Taunton	good	41.9001	US	-71.08977	2023-11-23
Amposta	good	40.70995	ES	0.57856	2019-10-31
Ambatondrazaka	good	-17.83333	MG	48.41667	2016-02-01
Ishim	maintenance	56.11281	RU	69.49015	09/14/2020, 00:00:00
Ustka	good	54.58048	PL	16.86194	2023/10/12
Shuangcheng	good	45.35	CN	126.28333	08/24/2025, 00:00:00
Sassari	good	40.72586	IT	8.55552	20 Jan 2018
Great Wyrley	excellent	52.66277	GB	-2.01111	06/10/2016, 00:00:00
Catende	good	-8.66667	BR	-35.71667	2025/05/01
Thap Than	good	15.46063	TH	99.89166	11/23/2023, 00:00:00
Pato Branco	good	-26.22861	BR	-52.67056	2022/08/07
Petrozavodsk	good	61.78491	RU	34.34691	2020/05/15
Santa Rosa Jauregui	good	20.74122	MX	-100.44843	07/22/2020, 00:00:00
Hoogezand	acceptable	53.16167	NL	6.76111	25 Feb 2025
Peabody	good	42.52787	US	-70.92866	26 May 2024
Odessa	good	31.84568	US	-102.36764	2024-09-16
Ajdabiya	good	30.75545	LY	20.22625	2024-05-29
Marau	good	-28.44917	BR	-52.2	2016/01/26
Nkpor	good	6.15038	NG	6.83042	2016/01/30
North Tustin	good	33.76446	US	-117.79394	2020-02-17
Kantharalak	excellent	14.64056	TH	104.64992	2020-09-04
Canton	excellent	42.30865	US	-83.48216	05/04/2021, 00:00:00
Kobuleti	excellent	41.82143	GE	41.77921	2017-12-16
Barmbek-Nord	good	53.6052	DE	10.03988	2023/05/17
Odessa	good	31.84568	US	-102.36764	08/30/2024, 00:00:00
Colomiers	excellent	43.61058	FR	1.33467	02 Aug 2020
Mongo	excellent	12.18441	TD	18.69303	2022-11-05
Changshu City	acceptable	31.64615	CN	120.74221	2019/11/06
Recodo	excellent	6.95194	PH	121.96361	04 Nov 2021
Yablonovskiy	good	44.98901	RU	38.94324	2016/04/30
Perugia	maintenance	43.1122	IT	12.38878	2022-06-07
Iwade	acceptable	34.25	JP	135.31667	2017-09-13
Astara	maintenance	38.45598	AZ	48.87498	06/01/2016, 00:00:00
Pahrump	good	36.20829	US	-115.98391	06 Sep 2021
Gonesse	excellent	48.98693	FR	2.44892	2024/03/10
Shimotoda	excellent	35.815	JP	139.6853	09 Feb 2024
Hrazdan	good	40.49748	AM	44.7662	2024/10/19
Valletta	good	35.89972	MT	14.51472	08/18/2025, 00:00:00
Adliswil	excellent	47.30997	CH	8.52462	2018-07-28
Zvenihorodka	excellent	49.07866	UA	30.96755	09 Jan 2018
Alatyr‚Äô	excellent	54.8421	RU	46.5813	11/04/2022, 00:00:00
Carnegie	excellent	-37.88333	AU	145.06667	2019-03-05
Strood	acceptable	51.39323	GB	0.47713	2022-09-06
Baliuag	maintenance	14.95472	PH	120.89694	02 Jun 2020
Porto Velho	excellent	-8.76194	BR	-63.90389	11 Jul 2025
Usagara	excellent	-2.68333	TZ	33	08/16/2021, 00:00:00
Kulai	excellent	1.6561	MY	103.6032	06/12/2025, 00:00:00
Lymington	excellent	50.75767	GB	-1.5443	06/16/2025, 00:00:00
Rueil-Malmaison	acceptable	48.8765	FR	2.18967	03/07/2019, 00:00:00
Martinsburg	good	39.45621	US	-77.96389	28 Nov 2018
Scotch Plains	good	40.65538	US	-74.38987	2023/11/08
Kirchlengern	good	52.2	DE	8.63333	2024-11-24
Jalal-Abad	excellent	40.93333	KG	73	05/30/2018, 00:00:00
Silvan	excellent	38.13708	TR	41.00817	08 Jan 2022
Teziutlan	good	19.8173	MX	-97.35992	08/05/2022, 00:00:00
Novopavlovsk	good	43.96222	RU	43.63417	2017-09-11
Brierley Hill	good	52.48173	GB	-2.12139	2024-04-09
Gaya	excellent	11.86064	NG	9.0027	2016/11/06
Artur Nogueira	excellent	-22.57306	BR	-47.1725	2021/07/31
Magomeni	good	-6.8	TZ	39.25	2023/11/07
Iringa	good	-7.76667	TZ	35.7	10 Sep 2017
Sirsi	good	14.62072	IN	74.83554	2020/08/15
Collinwood	excellent	41.55838	US	-81.56929	30 Mar 2018
Myawadi	good	16.68911	MM	98.50893	28 Apr 2024
Daud Khel	acceptable	32.87533	PK	71.57118	11/02/2023, 00:00:00
Baza	good	37.49073	ES	-2.77259	09/05/2020, 00:00:00
Olanchito	excellent	15.48131	HN	-86.57415	15 Jan 2019
Changzhi	acceptable	35.20889	CN	111.73861	05 Sep 2017
La Victoria	good	10.22677	VE	-67.33122	2024/11/24
Dumont	good	40.94065	US	-73.99681	26 Nov 2016
